order_item_id,order_id,product_id,quantity,unit_price,discount_pct
OI00000002,O0000002,P0102,2,50.64,0.1
OI00000049,O0000028,P0031,2,1344.24,0.0
OI00000062,O0000034,P0066,1,263.55,0.1
OI00000063,O0000034,P0126,1,190.41,0.0
OI00000064,O0000034,P0155,2,49.53,0.0
OI00000065,O0000034,P0105,2,130.87,0.0
OI00000076,O0000041,P0090,1,206.39,0.0
OI00000082,O0000046,P0131,1,49.86,0.15
OI00000083,O0000046,P0109,1,167.72,0.0
OI00000100,O0000055,P0035,1,1023.86,0.1
OI00000101,O0000055,P0127,1,167.91,0.05
OI00000102,O0000056,P0173,1,44.67,0.15
OI00000112,O0000063,P0041,1,227.4,0.0
OI00000123,O0000071,P0177,1,23.14,0.1
OI00000128,O0000074,P0120,2,329.33,0.0
OI00000129,O0000074,P0019,1,421.24,0.0
OI00000137,O0000079,P0124,1,64.88,0.0
OI00000139,O0000081,P0113,1,99.45,0.0
OI00000140,O0000081,P0123,1,50.42,0.0
OI00000166,O0000095,P0146,1,52.96,0.0
OI00000167,O0000095,P0106,1,128.47,0.0
OI00000168,O0000095,P0002,2,899.28,0.0
OI00000188,O0000106,P0139,1,24.22,0.0
OI00000214,O0000122,P0067,1,284.5,0.0
OI00000226,O0000130,P0135,1,185.1,0.0
OI00000250,O0000144,P0121,1,144.03,0.0
OI00000251,O0000144,P0026,1,1136.52,0.1
OI00000260,O0000149,P0037,1,558.88,0.0
OI00000261,O0000149,P0028,1,1224.59,0.0
OI00000262,O0000149,P0178,1,11.26,0.0
OI00000263,O0000149,P0155,1,49.14,0.2
OI00000271,O0000155,P0011,1,1087.7,0.0
OI00000274,O0000157,P0022,2,886.26,0.0
OI00000279,O0000161,P0122,1,392.01,0.1
OI00000280,O0000161,P0028,1,1239.18,0.0
OI00000281,O0000161,P0111,1,289.19,0.0
OI00000294,O0000169,P0170,1,9.39,0.0
OI00000297,O0000171,P0078,1,137.2,0.15
OI00000298,O0000171,P0051,1,54.52,0.1
OI00000299,O0000171,P0074,2,255.75,0.1
OI00000314,O0000181,P0107,1,157.02,0.1
OI00000332,O0000190,P0029,2,522.12,0.1
OI00000333,O0000190,P0026,1,1172.5,0.0
OI00000335,O0000192,P0144,1,13.87,0.0
OI00000372,O0000215,P0034,1,528.24,0.0
OI00000373,O0000215,P0082,1,379.51,0.0
OI00000402,O0000229,P0171,1,38.02,0.05
OI00000403,O0000229,P0126,1,188.45,0.0
OI00000406,O0000232,P0112,1,39.39,0.0
OI00000407,O0000232,P0044,1,119.74,0.0
OI00000408,O0000233,P0175,1,11.53,0.0
OI00000409,O0000233,P0141,1,23.62,0.0
OI00000410,O0000233,P0046,1,341.8,0.0
OI00000411,O0000234,P0034,1,531.61,0.0
OI00000424,O0000242,P0134,1,132.92,0.0
OI00000443,O0000252,P0160,1,24.31,0.1
OI00000444,O0000253,P0124,1,65.43,0.1
OI00000445,O0000253,P0045,1,407.23,0.05
OI00000470,O0000267,P0072,2,169.57,0.0
OI00000474,O0000271,P0050,2,91.95,0.0
OI00000475,O0000271,P0140,2,15.51,0.0
OI00000476,O0000272,P0112,1,39.56,0.05
OI00000477,O0000272,P0177,1,23.05,0.0
OI00000478,O0000273,P0085,1,512.03,0.2
OI00000486,O0000279,P0132,1,27.98,0.0
OI00000530,O0000304,P0063,1,59.76,0.0
OI00000531,O0000304,P0169,1,190.22,0.0
OI00000554,O0000315,P0135,1,184.79,0.05
OI00000555,O0000315,P0103,1,83.71,0.05
OI00000582,O0000333,P0093,1,84.69,0.2
OI00000583,O0000333,P0124,1,65.43,0.1
OI00000592,O0000337,P0044,1,123.95,0.0
OI00000616,O0000351,P0120,1,322.03,0.2
OI00000624,O0000355,P0100,2,61.04,0.0
OI00000625,O0000355,P0099,1,229.96,0.0
OI00000626,O0000355,P0156,1,87.74,0.0
OI00000628,O0000357,P0078,1,136.19,0.0
OI00000636,O0000360,P0145,1,168.0,0.1
OI00000652,O0000369,P0048,1,58.27,0.0
OI00000653,O0000369,P0080,1,234.65,0.0
OI00000662,O0000375,P0147,1,78.33,0.0
OI00000702,O0000393,P0053,1,357.9,0.1
OI00000703,O0000393,P0029,1,529.36,0.0
OI00000704,O0000393,P0114,1,29.89,0.1
OI00000709,O0000397,P0164,1,39.07,0.0
OI00000728,O0000408,P0059,1,50.83,0.05
OI00000729,O0000408,P0165,2,40.93,0.05
OI00000730,O0000408,P0175,1,11.94,0.15
OI00000745,O0000416,P0137,1,25.85,0.0
OI00000746,O0000416,P0021,1,654.24,0.0
OI00000747,O0000416,P0153,1,44.13,0.0
OI00000748,O0000417,P0116,1,70.3,0.0
OI00000749,O0000417,P0107,1,157.56,0.1
OI00000756,O0000423,P0172,1,21.78,0.0
