order_id,customer_id,order_date,channel,store_id,order_status,payment_method,shipping_fee
O0000002,C026208,2023-01-01,Online,,Returned,Debit Card,6.83
O0000028,C000289,2023-01-01,Store,S014,Completed,Debit Card,0.0
O0000034,C001054,2023-01-01,Store,S001,Completed,Credit Card,0.0
O0000041,C014085,2023-01-01,Online,,Completed,Credit Card,11.69
O0000046,C005641,2023-01-01,Store,S013,Completed,Debit Card,0.0
O0000055,C022113,2023-01-01,Store,S014,Completed,Digital Wallet,0.0
O0000056,C000200,2023-01-01,Store,S014,Completed,Debit Card,0.0
O0000063,C022221,2023-01-01,Store,S003,Returned,Credit Card,0.0
O0000071,C024625,2023-01-02,Online,,Completed,Credit Card,2.31
O0000074,C015844,2023-01-02,Online,,Completed,Debit Card,3.54
O0000079,C001191,2023-01-02,Pickup,S012,Completed,Digital Wallet,0.0
O0000081,C004852,2023-01-02,Store,S007,Completed,Credit Card,0.0
O0000095,C017428,2023-01-02,Store,S007,Returned,Digital Wallet,0.0
O0000106,C013493,2023-01-02,Online,,Completed,Credit Card,12.32
O0000122,C003032,2023-01-03,Pickup,S004,Completed,Digital Wallet,0.0
O0000130,C004171,2023-01-03,Pickup,S011,Completed,Debit Card,0.0
O0000144,C014771,2023-01-03,Store,S005,Completed,Digital Wallet,0.0
O0000149,C004743,2023-01-03,Pickup,S015,Completed,Debit Card,0.0
O0000155,C025173,2023-01-03,Store,S008,Completed,Digital Wallet,0.0
O0000157,C014960,2023-01-03,Store,S007,Completed,Credit Card,0.0
O0000161,C004439,2023-01-03,Store,S013,Completed,Credit Card,0.0
O0000169,C014875,2023-01-03,Online,,Completed,Credit Card,1.68
O0000171,C008526,2023-01-03,Online,,Completed,Debit Card,8.25
O0000181,C017901,2023-01-04,Online,,Completed,Credit Card,3.26
O0000190,C019940,2023-01-04,Online,,Completed,Debit Card,0.25
O0000192,C029601,2023-01-04,Online,,Completed,Debit Card,10.42
O0000215,C007537,2023-01-04,Online,,Completed,Digital Wallet,5.17
O0000229,C007749,2023-01-04,Pickup,S010,Completed,Debit Card,0.0
O0000232,C003383,2023-01-05,Pickup,S009,Completed,Digital Wallet,0.0
O0000233,C017615,2023-01-05,Online,,Completed,Credit Card,9.99
O0000234,C010125,2023-01-05,Store,S003,Completed,Debit Card,0.0
O0000242,C006910,2023-01-05,Store,S014,Completed,Debit Card,0.0
O0000252,C014836,2023-01-05,Pickup,S013,Completed,Credit Card,0.0
O0000253,C017868,2023-01-05,Pickup,S006,Completed,Digital Wallet,0.0
O0000267,C000502,2023-01-05,Store,S015,Returned,Credit Card,0.0
O0000271,C024415,2023-01-05,Online,,Returned,Credit Card,7.74
O0000272,C017776,2023-01-05,Pickup,S007,Completed,Debit Card,0.0
O0000273,C013518,2023-01-05,Store,S003,Completed,Credit Card,0.0
O0000279,C000289,2023-01-05,Online,,Completed,Digital Wallet,4.64
O0000304,C011678,2023-01-06,Pickup,S009,Completed,Digital Wallet,0.0
O0000315,C018549,2023-01-06,Online,,Completed,Credit Card,10.83
O0000333,C003708,2023-01-07,Online,,Completed,Digital Wallet,2.74
O0000337,C002321,2023-01-07,Online,,Completed,Credit Card,1.66
O0000351,C015638,2023-01-07,Online,,Completed,Digital Wallet,2.82
O0000355,C017078,2023-01-07,Store,S002,Completed,Debit Card,0.0
O0000357,C010985,2023-01-07,Pickup,S003,Completed,Credit Card,0.0
O0000360,C001691,2023-01-07,Store,S011,Completed,Digital Wallet,0.0
O0000369,C012574,2023-01-07,Online,,Completed,Credit Card,11.89
O0000375,C026388,2023-01-07,Store,S004,Completed,Credit Card,0.0
O0000393,C015294,2023-01-08,Online,,Returned,Digital Wallet,5.13
