product_id,product_name,category,brand,list_price,unit_cost,launch_date,base_return_rate
P0001,Bolt Laptop 01,Laptops,Bolt,1706.98,1232.34,2022-10-08,0.08
P0002,Aster Laptop 02,Laptops,Aster,935.15,685.47,2023-03-28,0.08
P0003,Northstar Laptop 03,Laptops,Northstar,1215.89,875.91,2024-05-13,0.08
P0004,Bolt Laptop 04,Laptops,Bolt,1001.08,761.58,2024-11-20,0.08
P0005,Aster Laptop 05,Laptops,Aster,1345.89,913.88,2021-09-23,0.08
P0006,Luma Laptop 06,Laptops,Luma,2171.69,1599.17,2022-10-15,0.08
P0007,EchoPeak Laptop 07,Laptops,EchoPeak,2017.99,1454.8,2021-01-09,0.08
P0008,Luma Laptop 08,Laptops,Luma,1178.21,856.83,2022-12-17,0.08
P0009,Cobalt Laptop 09,Laptops,Cobalt,1281.02,869.63,2024-06-25,0.08
P0010,Flux Laptop 10,Laptops,Flux,886.48,663.34,2022-09-30,0.08
P0011,Flux Laptop 11,Laptops,Flux,1066.44,766.79,2023-03-05,0.08
P0012,Northstar Laptop 12,Laptops,Northstar,1504.43,1041.85,2021-12-03,0.08
P0013,Aster Laptop 13,Laptops,Aster,1068.06,785.19,2022-06-25,0.08
P0014,Northstar Laptop 14,Laptops,Northstar,825.88,595.25,2023-08-12,0.08
P0015,Aster Laptop 15,Laptops,Aster,1439.36,1021.66,2023-06-30,0.08
P0016,Flux Laptop 16,Laptops,Flux,931.23,689.5,2023-07-12,0.08
P0017,Kinetic Laptop 17,Laptops,Kinetic,1628.72,1228.74,2021-11-28,0.08
P0018,Cobalt Laptop 18,Laptops,Cobalt,1959.98,1438.71,2021-04-05,0.08
P0019,Bolt Phone 01,Phones,Bolt,403.49,260.08,2022-09-28,0.1
P0020,Cobalt Phone 02,Phones,Cobalt,549.91,367.47,2024-11-07,0.1
P0021,Cobalt Phone 03,Phones,Cobalt,644.89,391.89,2024-04-25,0.1
P0022,Flux Phone 04,Phones,Flux,866.9,636.25,2021-02-15,0.1
P0023,Aster Phone 05,Phones,Aster,986.38,609.5,2022-04-11,0.1
P0024,Aster Phone 06,Phones,Aster,505.11,336.86,2022-12-24,0.1
P0025,Bolt Phone 07,Phones,Bolt,424.77,272.4,2022-07-07,0.1
P0026,Luma Phone 08,Phones,Luma,1165.32,773.94,2024-02-18,0.1
P0027,Northstar Phone 09,Phones,Northstar,904.2,648.76,2022-06-23,0.1
P0028,EchoPeak Phone 10,Phones,EchoPeak,1223.99,738.91,2022-01-14,0.1
P0029,Cobalt Phone 11,Phones,Cobalt,527.96,396.77,2023-04-07,0.1
P0030,Bolt Phone 12,Phones,Bolt,857.48,606.95,2021-07-25,0.1
P0031,Aster Phone 13,Phones,Aster,1335.1,888.79,2023-09-25,0.1
P0032,Northstar Phone 14,Phones,Northstar,886.53,580.41,2023-09-03,0.1
P0033,Kinetic Phone 15,Phones,Kinetic,1339.05,897.92,2022-06-12,0.1
P0034,Flux Phone 16,Phones,Flux,548.42,384.14,2023-01-18,0.1
P0035,Bolt Phone 17,Phones,Bolt,1058.07,770.54,2022-11-10,0.1
P0036,Cobalt Phone 18,Phones,Cobalt,717.36,487.7,2023-11-25,0.1
P0037,EchoPeak Phone 19,Phones,EchoPeak,537.59,369.13,2023-03-20,0.1
P0038,Flux Phone 20,Phones,Flux,480.95,293.79,2021-09-09,0.1
P0039,Luma Phone 21,Phones,Luma,525.97,383.24,2022-12-20,0.1
P0040,Aster Phone 22,Phones,Aster,1005.23,692.28,2023-09-01,0.1
P0041,Bolt Audio 01,Audio,Bolt,233.4,119.89,2023-05-06,0.09
P0042,Northstar Audio 02,Audio,Northstar,119.63,55.44,2024-03-28,0.09
P0043,Aster Audio 03,Audio,Aster,290.78,146.71,2022-02-10,0.09
P0044,Northstar Audio 04,Audio,Northstar,122.95,75.33,2023-05-18,0.09
P0045,Northstar Audio 05,Audio,Northstar,410.06,243.54,2023-07-25,0.09
P0046,Bolt Audio 06,Audio,Bolt,329.63,201.95,2024-10-19,0.09
P0047,Luma Audio 07,Audio,Luma,138.06,76.11,2023-02-15,0.09
P0048,Cobalt Audio 08,Audio,Cobalt,55.9,31.98,2021-11-12,0.09
P0049,Aster Audio 09,Audio,Aster,339.34,181.24,2022-12-25,0.09
P0050,Aster Audio 10,Audio,Aster,92.51,57.32,2022-12-26,0.09
P0051,EchoPeak Audio 11,Audio,EchoPeak,55.69,31.65,2024-09-13,0.09
P0052,Bolt Audio 12,Audio,Bolt,39.66,19.5,2023-08-27,0.09
P0053,Northstar Audio 13,Audio,Northstar,356.64,186.34,2023-07-29,0.09
P0054,Luma Audio 14,Audio,Luma,57.4,32.24,2022-12-28,0.09
P0055,Northstar Audio 15,Audio,Northstar,331.2,185.78,2022-10-05,0.09
P0056,Flux Audio 16,Audio,Flux,127.96,66.52,2023-08-11,0.09
P0057,Bolt Audio 17,Audio,Bolt,132.53,72.81,2022-04-04,0.09
P0058,Luma Audio 18,Audio,Luma,148.13,79.59,2024-01-25,0.09
P0059,Aster Audio 19,Audio,Aster,49.94,25.34,2021-03-12,0.09
P0060,EchoPeak Audio 20,Audio,EchoPeak,136.13,64.47,2021-11-17,0.09
P0061,Cobalt Audio 21,Audio,Cobalt,382.31,190.14,2021-10-30,0.09
P0062,Bolt Audio 22,Audio,Bolt,56.86,26.71,2023-03-19,0.09
P0063,EchoPeak Audio 23,Audio,EchoPeak,59.21,34.78,2023-12-26,0.09
P0064,Bolt Audio 24,Audio,Bolt,129.85,66.28,2021-04-27,0.09
P0065,Flux Audio 25,Audio,Flux,318.68,166.22,2024-02-27,0.09
P0066,Bolt Audio 26,Audio,Bolt,270.81,149.67,2021-06-01,0.09
P0067,Flux Audio 27,Audio,Flux,284.08,152.66,2024-03-19,0.09
P0068,Kinetic Audio 28,Audio,Kinetic,142.33,75.17,2024-06-28,0.09
P0069,EchoPeak Audio 29,Audio,EchoPeak,98.09,50.56,2022-07-27,0.09
P0070,Aster Audio 30,Audio,Aster,54.18,30.03,2021-10-24,0.09
P0071,Bolt Gaming 01,Gaming,Bolt,114.55,77.14,2022-01-01,0.11
P0072,Luma Gaming 02,Gaming,Luma,172.43,108.86,2022-03-13,0.11
P0073,Bolt Gaming 03,Gaming,Bolt,97.29,61.6,2023-11-05,0.11
P0074,Cobalt Gaming 04,Gaming,Cobalt,257.69,164.61,2023-04-25,0.11
P0075,Aster Gaming 05,Gaming,Aster,53.88,33.2,2021-08-21,0.11
P0076,EchoPeak Gaming 06,Gaming,EchoPeak,122.41,74.58,2024-02-04,0.11
P0077,Northstar Gaming 07,Gaming,Northstar,412.73,260.45,2022-02-12,0.11
P0078,Flux Gaming 08,Gaming,Flux,134.67,83.94,2024-07-11,0.11
P0079,Bolt Gaming 09,Gaming,Bolt,173.85,103.17,2024-01-10,0.11
P0080,Cobalt Gaming 10,Gaming,Cobalt,236.24,152.51,2022-11-28,0.11
P0081,Luma Gaming 11,Gaming,Luma,406.93,266.39,2022-08-22,0.11
P0082,Luma Gaming 12,Gaming,Luma,378.86,252.1,2022-05-29,0.11
P0083,Flux Gaming 13,Gaming,Flux,729.2,504.17,2023-06-21,0.11
P0084,EchoPeak Gaming 14,Gaming,EchoPeak,632.38,427.85,2021-07-28,0.11
P0085,Bolt Gaming 15,Gaming,Bolt,496.4,318.25,2022-03-17,0.11
P0086,Aster Gaming 16,Gaming,Aster,50.06,34.08,2021-07-15,0.11
P0087,Kinetic Gaming 17,Gaming,Kinetic,487.03,302.12,2022-12-15,0.11
P0088,Luma Gaming 18,Gaming,Luma,300.77,201.78,2023-07-31,0.11
P0089,Kinetic Gaming 19,Gaming,Kinetic,353.19,216.55,2022-01-25,0.11
P0090,Luma Gaming 20,Gaming,Luma,201.47,131.18,2022-03-15,0.11
P0091,Aster Gaming 21,Gaming,Aster,169.23,115.85,2023-11-04,0.11
